PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
31,31,32,40,310,31,31,32,31,31,31,30,30,32,31,32,31,31,31,31,30,31,31,32,32,32,31,30,30,32,31,31,3225,7338,6230,1758,-12767,306,93.85736554949338,226.6527669524552,1283
31,31,31,40,337,31,32,31,32,31,32,31,30,31,31,31,31,32,31,31,30,31,32,31,32,31,31,31,30,31,32,32,1666,5095,5747,6344,-14283,3239,93.86852134146342,226.06935975609755,1312
31,31,31,40,413,32,31,31,32,31,31,31,29,32,31,32,31,31,31,31,30,31,32,31,32,31,32,31,29,31,31,31,311,3369,6783,7197,-14785,6046,94.3490974729242,225.056678700361,1385
32,32,31,40,457,31,32,31,31,31,31,32,30,31,31,31,31,31,31,32,30,32,32,31,31,32,31,31,30,31,31,31,-217,3839,9132,6488,-15459,8168,94.50872905027931,224.95286312849163,1432
31,31,31,40,482,32,32,31,31,31,32,31,29,31,31,31,31,31,31,31,29,32,31,31,31,31,32,31,30,31,32,31,-1506,4022,11358,7555,-17098,9423,94.55092911218168,224.0557467309016,1453
31,31,31,41,535,32,32,31,31,31,31,30,29,32,31,32,32,31,31,30,29,32,31,31,31,32,31,31,29,31,32,31,-1506,4022,11358,7555,-17098,9423,94.80212483399734,223.4233067729084,1506
31,31,31,40,572,32,32,31,31,31,32,31,30,31,32,32,31,32,32,31,29,31,31,32,31,31,31,31,29,31,31,31,-3296,2961,12443,8920,-18639,10003,94.99611650485436,223.09644012944983,1545
31,32,32,41,656,32,31,31,31,31,31,30,29,31,31,31,31,31,31,31,30,31,32,31,32,31,31,31,28,31,31,31,-4859,2751,14441,9147,-19418,10006,95.26215384615384,222.74553846153847,1625
32,31,32,41,731,32,32,31,31,32,31,31,29,31,31,32,31,31,32,30,28,31,31,32,32,31,31,31,29,32,32,31,-6395,3247,17094,9275,-19850,9504,95.48533724340176,221.18387096774197,1705
31,31,31,40,762,31,32,31,31,31,32,30,28,31,32,31,32,32,31,31,28,31,31,31,32,32,31,31,29,31,31,32,-9762,3712,19231,8873,-20209,9702,95.47053726169844,221.03523974581168,1731
31,31,32,40,784,32,31,31,32,31,32,31,29,31,31,31,31,32,31,30,29,31,32,32,31,31,31,31,28,31,32,31,-14672,4459,21339,7905,-20311,11506,95.56385404789052,221.10946408209807,1754
31,32,32,41,833,31,31,31,31,32,32,31,28,31,32,31,31,31,32,31,29,31,31,31,31,32,31,31,28,31,32,31,-14672,4459,21339,7905,-20311,11506,95.71230598669624,220.71978935698448,1804
32,31,31,40,922,32,32,31,31,31,32,31,28,31,31,31,31,31,31,31,28,31,31,31,32,31,32,31,28,31,31,31,-21623,3751,21284,7704,-19914,13244,95.97141344626786,219.7220751720487,1889
