PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
49,111,613,37,795,1682,1579,1143,2339,2099,1509,1922,646,201,537,479,174,301,622,34,884,878,674,1062,23,287,310,87,638,301,22,23,64,2281,8050,-333,-526,309,70.73591405647976,197.94596799782423,22061
54,125,672,45,889,1734,1585,1181,2289,2171,1508,1977,552,159,556,419,314,344,663,61,956,945,711,1148,23,236,269,25,567,225,22,22,109,2235,8186,-352,-548,332,71.83763977368913,190.4944536018176,22447
76,129,738,84,972,1779,1612,1200,2231,2237,1496,1999,442,96,536,381,449,376,712,56,1020,1066,747,1238,22,138,207,23,495,169,22,22,150,2212,8355,-302,-731,377,73.13563899868248,183.00621431708387,22770
79,130,817,124,1073,1824,1636,1190,2163,2288,1493,1988,349,36,537,298,619,455,764,99,1090,1143,790,1396,22,61,125,23,436,100,21,22,150,2212,8355,-302,-731,377,74.98311845112327,175.03225389159587,23191
108,145,881,170,1196,1843,1698,1248,2070,2295,1487,1969,221,21,477,227,790,552,821,157,1168,1244,817,1538,22,19,67,23,322,50,22,21,118,2310,8406,-201,-1077,516,77.10010975558276,167.10055299928237,23689
178,190,936,248,1325,1847,1749,1281,2027,2250,1471,1921,114,21,413,173,920,638,861,226,1256,1339,862,1666,21,19,31,23,223,21,21,21,148,2646,8554,-11,-1525,804,79.12650255228058,160.77080931994072,24292
225,208,987,324,1419,1827,1824,1307,1883,2193,1428,1856,47,21,328,129,1053,750,923,297,1306,1423,888,1755,21,19,23,23,167,21,21,21,354,2555,9034,576,-2134,1435,81.35277339482947,155.9397378322612,24717
251,235,1011,406,1493,1794,1905,1311,1789,2109,1382,1784,26,21,260,52,1166,878,969,384,1360,1492,882,1834,21,19,20,23,119,20,21,20,374,2494,9411,322,-3762,1685,83.3338588019316,151.79353074989024,25057
317,271,1058,483,1534,1778,1981,1333,1654,2010,1314,1637,23,21,146,25,1294,1011,1020,471,1395,1550,869,1895,20,20,20,23,50,20,22,20,591,2290,9728,237,-5685,1893,85.44281194384023,147.14516511765868,25285
409,312,1103,560,1588,1746,2095,1343,1532,1911,1198,1423,22,21,73,21,1366,1104,1080,535,1418,1600,699,1930,20,20,20,23,21,20,22,20,591,2290,9728,237,-5685,1893,86.98422094634726,142.9148485448426,25255
471,341,1166,766,1597,1704,2133,1332,1408,1844,1072,1070,22,21,23,21,1430,1184,1140,632,1414,1653,642,1956,20,20,20,24,21,20,22,20,799,2275,10032,367,-8558,2098,88.78160577571502,138.36328295450036,25209
565,369,1259,1071,1613,1646,2063,1331,1270,1778,850,496,22,21,24,21,1488,1265,1236,757,1422,1725,518,1977,20,20,20,24,21,20,23,20,1452,3100,9812,347,-11844,2518,90.8945501903426,131.79136445602083,24955
668,408,1342,1299,1615,1536,1930,1328,1014,1651,635,228,22,21,25,21,1594,1341,1313,768,1428,1803,488,1991,21,20,21,24,21,20,24,20,904,4057,12279,-1019,-13480,3350,93.17595373376624,126.59935064935064,24640
782,448,1406,1400,1589,1294,1733,1305,701,1486,515,84,22,21,26,21,1720,1429,1371,838,1430,1992,505,2001,21,20,21,24,21,21,24,20,823,5831,14014,-2733,-18008,5224,96.1884236960191,122.06745296611912,24291
846,529,1378,1485,1424,905,1341,1250,515,1149,472,28,22,22,27,21,1760,1542,1398,872,1479,2138,632,2009,21,21,21,24,22,22,25,21,823,5831,14014,-2733,-18008,5224,99.6058024849494,118.48012467443748,23421
873,717,1294,1518,826,775,1196,898,497,743,503,21,24,23,27,22,1802,1594,1313,870,1465,1900,756,1940,21,21,21,24,24,23,25,22,2310,7260,16726,-6088,-24193,7775,102.49219395720452,116.17887317476352,21778
863,769,782,1540,485,719,1092,1010,372,587,850,21,26,24,27,24,1847,1289,857,769,1054,1505,804,1306,21,21,24,25,27,25,26,24,6130,7495,23661,-8085,-28979,9443,100.33098591549296,116.4365134201435,18815
1052,629,405,1436,303,563,919,738,265,418,620,23,28,26,29,27,1575,495,617,446,807,1025,353,915,22,20,27,25,29,27,28,27,7716,5690,23914,-6921,-29158,9397,97.78055176377612,113.23791220633666,13919
985,201,216,803,117,408,513,168,268,108,326,25,30,29,32,29,765,310,381,137,402,551,136,653,26,22,29,30,30,29,30,29,2195,6537,19807,-2559,-24990,8459,100.52385520593502,117.62228191353287,7818
128,34,31,40,31,102,167,30,109,31,226,32,31,32,33,31,45,42,32,38,70,32,31,254,30,31,31,31,33,31,31,31,-4235,7290,14980,2740,-19694,9394,90.81951089845826,191.96251993620416,1881
31,34,31,40,32,31,31,31,34,35,231,36,32,31,34,31,29,31,31,31,31,31,31,31,31,31,31,31,31,33,31,31,-4235,7290,14980,2740,-19694,9394,81.01924651924652,226.4131859131859,1221
31,34,31,40,31,31,31,31,32,34,30,37,32,32,35,32,32,32,33,32,31,31,33,32,32,32,32,31,31,31,33,31,-10189,5494,9283,1997,-16003,10844,82.77686350435624,230.6568247821878,1033
31,34,31,40,32,31,31,31,31,33,32,36,31,31,34,31,31,32,32,31,31,31,33,31,32,32,32,31,31,31,33,31,-9326,8408,13622,957,-3557,9148,82.88780487804878,230.7678048780488,1025
33,34,32,41,31,32,32,32,31,32,36,36,31,32,36,32,31,31,35,31,31,32,32,32,31,31,32,31,33,32,31,32,-9072,4700,8946,2162,8183,5281,82.81604226705092,229.58117195004803,1041
33,35,32,40,31,31,31,32,33,33,36,37,31,32,35,32,31,31,35,31,31,31,32,31,31,31,32,32,32,32,31,32,-5211,3602,6230,1163,11871,1497,82.4860576923077,229.7918269230769,1040
32,34,32,40,32,31,31,32,32,34,38,36,31,31,35,32,32,31,34,31,31,32,32,31,31,31,31,32,33,32,31,31,-5211,3602,6230,1163,11871,1497,82.63137632338787,229.43455245428297,1039
32,34,32,39,31,31,31,31,32,34,40,36,32,32,35,31,32,31,36,31,31,32,32,32,32,31,31,32,32,32,31,31,-4174,4333,4914,1252,12496,-1458,82.81813819577735,229.74184261036467,1042
31,34,31,39,32,31,31,31,31,33,38,36,31,32,35,32,32,32,37,32,32,32,32,32,32,32,32,32,31,32,32,31,-2829,4282,5926,4087,13794,-3579,83.10450623202301,230.04697986577185,1043
32,34,32,41,32,31,31,31,32,34,39,37,32,31,35,32,31,32,34,31,31,31,33,32,32,31,31,31,31,31,31,31,-1515,2702,7488,6557,15918,-5377,82.66586538461539,228.9971153846154,1040
31,34,31,39,31,32,31,31,31,33,41,36,32,31,34,32,31,31,36,31,31,31,32,31,31,32,31,31,31,31,31,31,-446,1988,8344,6872,17515,-6945,82.74152952565343,229.71539206195547,1033
32,34,32,40,32,31,31,32,31,34,42,36,32,32,35,32,31,31,36,32,31,32,33,32,31,32,32,31,31,32,31,31,397,2438,9101,6403,18390,-7632,82.80229226361031,229.1723973256925,1047
32,34,31,39,32,31,31,31,31,33,51,36,32,31,35,32,31,31,38,32,32,32,32,31,31,31,32,31,32,32,31,31,397,2438,9101,6403,18390,-7632,82.82889733840304,229.0161596958175,1052
32,34,31,40,33,32,31,31,32,34,109,37,32,32,35,32,32,32,31,32,32,32,31,32,31,31,31,31,31,32,31,32,1725,2791,10684,6975,19094,-7265,82.04680468046804,227.8708370837084,1111
32,35,31,39,32,32,31,31,32,33,141,36,32,31,35,32,32,33,32,31,31,31,31,31,33,32,31,31,32,33,33,31,2900,2667,12404,7955,19566,-6452,81.97812773403325,228.5971128608924,1143
31,35,32,40,32,33,32,31,31,33,159,36,32,32,35,32,31,31,31,32,31,31,31,31,31,32,31,31,32,31,32,31,3972,2462,14336,8470,19971,-5710,81.63884083044982,227.5774221453287,1156
31,34,31,40,31,31,31,31,31,33,165,36,31,32,34,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,31,31,5728,1906,16052,7905,20056,-5571,81.77146574154379,227.95663486556808,1153
31,34,31,39,31,31,31,31,32,33,165,36,31,31,35,32,31,31,31,31,31,31,31,31,31,32,31,31,32,32,31,32,5728,1906,16052,7905,20056,-5571,81.66291161178509,228.08882149046795,1154
32,34,31,40,32,31,31,32,31,33,167,36,31,31,35,31,31,31,31,31,31,32,32,32,32,31,31,31,32,32,31,32,7574,2540,17288,6217,19482,-6756,81.84969853574505,227.34840654608092,1161
32,34,32,41,32,32,32,32,31,33,188,37,32,31,35,32,31,31,31,31,31,31,31,31,32,31,31,31,31,31,32,31,10753,4373,18522,5190,18479,-8739,81.4539695945946,226.68116554054052,1184
32,34,31,41,32,31,31,32,31,33,228,37,32,32,34,32,32,31,32,32,31,32,32,32,31,31,31,31,31,31,31,31,15110,4261,18576,6069,16914,-9460,81.48693877551021,225.2991836734694,1225
32,34,30,40,31,32,32,32,31,33,315,37,31,31,35,32,32,31,30,32,33,31,31,32,32,33,31,32,32,31,31,31,18875,2406,16207,6544,14354,-8516,81.0982482863671,224.95049504950492,1313
31,35,31,40,32,32,31,32,31,33,374,36,32,31,35,31,31,31,30,31,33,33,31,32,33,31,30,31,32,32,32,33,22699,-1381,11889,6720,11149,-7566,80.7177713037145,224.42971595047345,1373
32,35,31,40,32,32,49,32,31,32,417,34,32,32,35,32,31,31,30,32,32,33,32,31,31,31,30,31,31,31,31,31,22699,-1381,11889,6720,11149,-7566,80.85038542396636,222.18465311843028,1427
31,34,30,40,31,32,93,31,32,32,476,31,32,33,35,32,32,32,30,31,32,31,31,31,31,31,30,31,32,32,30,31,32743,-4947,7840,6092,7614,-6549,81.23407747866054,220.7462245567958,1523
31,35,31,39,32,46,31,32,48,33,470,35,31,31,35,32,32,32,30,31,32,32,32,32,31,31,30,31,32,31,31,31,32764,-12174,3433,2713,643,-4775,79.56162089752176,221.34125920964505,1493
31,34,30,40,31,32,31,32,140,33,375,37,31,31,35,32,31,32,31,32,31,31,32,32,33,34,30,202,250,262,31,31,5843,-163,4822,-4126,-6510,-2102,79.21333333333334,280.4947619047619,2100
29,31,30,32,29,27,30,28,50,29,229,29,29,769,33,28,28,28,29,25,29,25,29,26,1540,1259,595,1911,781,1196,855,1729,-8022,2575,15716,-7086,-10410,1169,84.97325692454632,425.58326821220805,11517
24,25,27,25,28,23,26,23,107,24,155,24,277,994,28,24,23,23,27,22,27,22,26,23,2284,2374,1249,2678,1131,1847,1679,2506,-8022,2575,15716,-7086,-10410,1169,86.00807313642757,433.9840787623066,17775
23,23,25,24,25,65,26,22,181,65,171,37,772,1125,27,22,23,22,24,21,24,21,25,22,2449,2659,1996,2871,1528,1995,1922,2793,2577,1016,19613,-4781,-13344,3329,85.43570477458627,429.9007513791136,21028
22,22,23,23,22,114,25,22,248,138,218,62,1346,1231,28,117,22,22,23,21,22,20,26,21,2387,2691,2385,2906,1534,2015,1760,2797,2324,4521,16339,-1629,-10670,3682,84.24658270963116,423.9125173665576,22313
22,22,22,23,31,196,35,21,653,294,278,162,1548,1221,80,254,23,22,22,20,25,20,26,21,2080,2622,2475,2840,1610,1961,1541,2698,2084,4889,10645,-2893,-5789,863,81.70502448836803,411.9896799020465,22868
22,22,22,23,47,288,330,22,805,453,491,342,1560,1193,179,355,22,21,36,18,75,20,25,51,2032,2557,2410,2743,1608,1947,1263,2602,631,1822,10722,-3498,-1445,-171,80.58537567842605,397.9941909769335,23584
22,22,35,23,60,383,644,79,880,527,516,440,1584,1185,284,453,22,21,110,18,81,43,190,120,2046,2535,2448,2691,1648,1906,975,2486,16,2521,8747,-2585,-20,-105,80.92223311680353,385.4422519099562,24477
22,22,72,23,69,415,862,119,883,577,580,478,1562,1152,287,461,22,21,131,18,116,84,330,203,2089,2529,2391,2681,1663,1889,808,2422,16,2521,8747,-2585,-20,-105,81.72603178415596,377.5392298146592,24981
22,22,78,23,91,447,1000,144,884,600,611,491,1559,1122,303,475,22,21,158,18,152,126,390,259,2078,2518,2357,2674,1633,1848,683,2343,-156,1987,8813,-1647,184,7,82.23274491094148,372.0221851145038,25152
22,22,119,23,111,459,1056,171,923,614,636,512,1538,1128,311,484,23,48,182,19,192,154,441,305,2023,2486,2292,2644,1606,1817,613,2269,-529,2012,8491,-1033,18,69,82.40070514598106,366.7118012914472,25243
22,26,134,23,129,497,1124,188,989,660,692,540,1537,1115,322,513,27,51,193,20,214,188,509,328,1900,2419,2218,2595,1580,1753,498,2186,-489,1998,8494,-369,-283,139,82.15192536720922,360.4443231441048,25190
22,36,145,23,136,528,1172,207,1136,703,736,580,1539,1128,348,551,29,50,207,19,225,204,568,353,1703,2341,2126,2512,1548,1673,419,2066,-533,2119,8401,75,-577,177,81.38443254903527,353.6280709463508,25033
22,40,168,24,156,583,1222,250,1282,770,786,643,1546,1149,361,578,30,62,228,18,250,222,581,388,1501,2221,1987,2394,1488,1551,315,1908,-533,2119,8401,75,-577,177,80.35566655880925,344.78587607183306,24724
22,48,195,25,178,657,1268,315,1452,864,867,707,1542,1138,381,619,33,71,255,19,281,252,611,438,1216,2050,1803,2221,1412,1418,225,1677,-448,2174,8226,244,-839,234,79.03336768342952,332.7435490519373,24260
23,53,223,26,206,766,1326,378,1639,992,965,814,1508,1095,392,616,36,93,294,21,324,291,663,494,908,1839,1579,1986,1326,1266,91,1459,-410,2338,8080,131,-1019,264,77.59121222353536,317.40131690021946,23692
